model,family,trace_file,row_count,phases,status,symbols,scope,notes
models--Qwen--Qwen3-8B,causal_transformer,traces/Qwen__Qwen3-8B.csv,650,prefill;decode_step,complete_logical_static,"B=batch,S=text sequence,KV=cache length,T_audio=mel frames,T_enc=encoder frames,T_dec=decoder tokens,T_feat=audio feature frames,L*=codec/vocoder lengths,F*=frequency bins",logical matmul plus learned convolution matrix-equivalents; not a runtime kernel trace,symbolic static trace; no weights loaded for numerical execution
models--Systran--faster-whisper-base,whisper,traces/Systran__faster-whisper-base.csv,208,encoder;decoder_prefill;decoder_decode_step,complete_logical_static_from_variant,"B=batch,S=text sequence,KV=cache length,T_audio=mel frames,T_enc=encoder frames,T_dec=decoder tokens,T_feat=audio feature frames,L*=codec/vocoder lengths,F*=frequency bins",logical matmul plus learned convolution matrix-equivalents; not a runtime kernel trace,symbolic static trace; no weights loaded for numerical execution
models--Systran--faster-whisper-large-v3,whisper,traces/Systran__faster-whisper-large-v3.csv,1092,encoder;decoder_prefill;decoder_decode_step,complete_logical_static_from_variant,"B=batch,S=text sequence,KV=cache length,T_audio=mel frames,T_enc=encoder frames,T_dec=decoder tokens,T_feat=audio feature frames,L*=codec/vocoder lengths,F*=frequency bins",logical matmul plus learned convolution matrix-equivalents; not a runtime kernel trace,symbolic static trace; no weights loaded for numerical execution
models--Systran--faster-whisper-medium,whisper,traces/Systran__faster-whisper-medium.csv,820,encoder;decoder_prefill;decoder_decode_step,complete_logical_static_from_variant,"B=batch,S=text sequence,KV=cache length,T_audio=mel frames,T_enc=encoder frames,T_dec=decoder tokens,T_feat=audio feature frames,L*=codec/vocoder lengths,F*=frequency bins",logical matmul plus learned convolution matrix-equivalents; not a runtime kernel trace,symbolic static trace; no weights loaded for numerical execution
models--Systran--faster-whisper-small,whisper,traces/Systran__faster-whisper-small.csv,412,encoder;decoder_prefill;decoder_decode_step,complete_logical_static_from_variant,"B=batch,S=text sequence,KV=cache length,T_audio=mel frames,T_enc=encoder frames,T_dec=decoder tokens,T_feat=audio feature frames,L*=codec/vocoder lengths,F*=frequency bins",logical matmul plus learned convolution matrix-equivalents; not a runtime kernel trace,symbolic static trace; no weights loaded for numerical execution
models--Systran--faster-whisper-tiny,whisper,traces/Systran__faster-whisper-tiny.csv,140,encoder;decoder_prefill;decoder_decode_step,complete_logical_static_from_variant,"B=batch,S=text sequence,KV=cache length,T_audio=mel frames,T_enc=encoder frames,T_dec=decoder tokens,T_feat=audio feature frames,L*=codec/vocoder lengths,F*=frequency bins",logical matmul plus learned convolution matrix-equivalents; not a runtime kernel trace,symbolic static trace; no weights loaded for numerical execution
models--amphion--MaskGCT,maskgct_codec,traces/amphion__MaskGCT.csv,79,codec_encode;codec_decode,partial_repository_semantic_codec_only,"B=batch,S=text sequence,KV=cache length,T_audio=mel frames,T_enc=encoder frames,T_dec=decoder tokens,T_feat=audio feature frames,L*=codec/vocoder lengths,F*=frequency bins",logical matmul plus learned convolution matrix-equivalents; not a runtime kernel trace,"cache contains only semantic_codec/model.safetensors, not the complete MaskGCT pipeline"
models--casperhansen--llama-3.3-70b-instruct-awq,causal_transformer,traces/casperhansen__llama-3.3-70b-instruct-awq.csv,1442,prefill;decode_step,complete_logical_static,"B=batch,S=text sequence,KV=cache length,T_audio=mel frames,T_enc=encoder frames,T_dec=decoder tokens,T_feat=audio feature frames,L*=codec/vocoder lengths,F*=frequency bins",logical matmul plus learned convolution matrix-equivalents; not a runtime kernel trace,symbolic static trace; no weights loaded for numerical execution
models--codellama--CodeLlama-13b-Instruct-hf,causal_transformer,traces/codellama__CodeLlama-13b-Instruct-hf.csv,722,prefill;decode_step,complete_logical_static,"B=batch,S=text sequence,KV=cache length,T_audio=mel frames,T_enc=encoder frames,T_dec=decoder tokens,T_feat=audio feature frames,L*=codec/vocoder lengths,F*=frequency bins",logical matmul plus learned convolution matrix-equivalents; not a runtime kernel trace,symbolic static trace; no weights loaded for numerical execution
models--facebook--w2v-bert-2.0,wav2vec2_bert,traces/facebook__w2v-bert-2.0.csv,337,encode,complete_logical_static,"B=batch,S=text sequence,KV=cache length,T_audio=mel frames,T_enc=encoder frames,T_dec=decoder tokens,T_feat=audio feature frames,L*=codec/vocoder lengths,F*=frequency bins",logical matmul plus learned convolution matrix-equivalents; not a runtime kernel trace,symbolic static trace; no weights loaded for numerical execution
models--funasr--campplus,campplus,traces/funasr__campplus.csv,225,speaker_encode,complete_static_from_checkpoint_and_official_forward,"B=batch,S=text sequence,KV=cache length,T_audio=mel frames,T_enc=encoder frames,T_dec=decoder tokens,T_feat=audio feature frames,L*=codec/vocoder lengths,F*=frequency bins",logical matmul plus learned convolution matrix-equivalents; not a runtime kernel trace,symbolic static trace; no weights loaded for numerical execution
models--mistralai--Mistral-7B-Instruct-v0.3,causal_transformer,traces/mistralai__Mistral-7B-Instruct-v0.3.csv,578,prefill;decode_step,complete_logical_static,"B=batch,S=text sequence,KV=cache length,T_audio=mel frames,T_enc=encoder frames,T_dec=decoder tokens,T_feat=audio feature frames,L*=codec/vocoder lengths,F*=frequency bins",logical matmul plus learned convolution matrix-equivalents; not a runtime kernel trace,symbolic static trace; no weights loaded for numerical execution
models--mobiuslabsgmbh--faster-whisper-large-v3-turbo,whisper,traces/mobiuslabsgmbh__faster-whisper-large-v3-turbo.csv,364,encoder;decoder_prefill;decoder_decode_step,complete_logical_static_from_variant,"B=batch,S=text sequence,KV=cache length,T_audio=mel frames,T_enc=encoder frames,T_dec=decoder tokens,T_feat=audio feature frames,L*=codec/vocoder lengths,F*=frequency bins",logical matmul plus learned convolution matrix-equivalents; not a runtime kernel trace,symbolic static trace; no weights loaded for numerical execution
models--nvidia--bigvgan_v2_22khz_80band_256x,bigvgan,traces/nvidia__bigvgan_v2_22khz_80band_256x.csv,116,vocoder,complete_learned_operator_static,"B=batch,S=text sequence,KV=cache length,T_audio=mel frames,T_enc=encoder frames,T_dec=decoder tokens,T_feat=audio feature frames,L*=codec/vocoder lengths,F*=frequency bins",logical matmul plus learned convolution matrix-equivalents; not a runtime kernel trace,learned Conv/ConvTranspose are represented as logical matrix equivalents; fixed anti-alias filters excluded
models--sentence-transformers--all-mpnet-base-v2,mpnet_embedding,traces/sentence-transformers__all-mpnet-base-v2.csv,96,encode,complete_logical_static,"B=batch,S=text sequence,KV=cache length,T_audio=mel frames,T_enc=encoder frames,T_dec=decoder tokens,T_feat=audio feature frames,L*=codec/vocoder lengths,F*=frequency bins",logical matmul plus learned convolution matrix-equivalents; not a runtime kernel trace,symbolic static trace; no weights loaded for numerical execution
